cidade,uf,cep
'Acrelândia','AC','69945-000'
'Assis Brasil','AC','69935-000'
'Brasiléia','AC','69932-000'
'Bujari','AC','69926-000'
'Capixaba','AC','69931-000'
'Cruzeiro do Sul','AC','69980-000'
'Epitaciolândia','AC','69934-000'
'Feijó','AC','69960-000'
'Jordão','AC','69975-000'
'Mâncio Lima','AC','69990-000'
'Manoel Urbano','AC','69950-000'
'Marechal Thaumaturgo','AC','69983-000'
'Plácido de Castro','AC','69928-000'
'Porto Acre','AC','69927-000'
'Porto Walter','AC','69982-000'
'Rio Branco','AC','120040'
'Rodrigues Alves','AC','69985-000'
'Santa Rosa do Purus','AC','69955-000'
'Sena Madureira','AC','69940-000'
'Senador Guiomard','AC','69925-000'
'Tarauacá','AC','69970-000'
'Xapuri','AC','69930-000'
'Água Branca','AL','57490-000'
'Anadia','AL','57660-000'
'Arapiraca','AL','270030'
'Atalaia','AL','57690-000'
'Barra de Santo Antônio','AL','57925-000'
'Barra de São Miguel','AL','57180-000'
'Batalha','AL','57420-000'
'Belém','AL','57630-000'
'Belo Monte','AL','57435-000'
'Boca da Mata','AL','57680-000'
'Branquinha','AL','57830-000'
'Cacimbinhas','AL','57570-000'
'Cajueiro','AL','57770-000'
'Campestre','AL','57968-000'
'Campo Alegre','AL','57250-000'
'Campo Grande','AL','57350-000'
'Canapi','AL','57530-000'
'Capela','AL','57780-000'
'Carneiros','AL','57535-000'
'Chã Preta','AL','57760-000'
'Coité do Nóia','AL','57325-000'
'Colônia Leopoldina','AL','57975-000'
'Coqueiro Seco','AL','57140-000'
'Coruripe','AL','57230-000'
'Craíbas','AL','57320-000'
'Delmiro Gouveia','AL','57480-000'
'Dois Riachos','AL','57560-000'
'Estrela de Alagoas','AL','57625-000'
'Feira Grande','AL','57340-000'
'Feliz Deserto','AL','57220-000'
'Flexeiras','AL','57995-000'
'Girau do Ponciano','AL','57360-000'
'Ibateguara','AL','57890-000'
'Igaci','AL','57620-000'
'Igreja Nova','AL','57280-000'
'Inhapi','AL','57545-000'
'Jacaré dos Homens','AL','57430-000'
'Jacuípe','AL','57960-000'
'Japaratinga','AL','57950-000'
'Jaramataia','AL','57425-000'
'Joaquim Gomes','AL','57980-000'
'Jundiá','AL','57965-000'
'Junqueiro','AL','57270-000'
'Lagoa da Canoa','AL','57330-000'
'Limoeiro de Anadia','AL','57260-000'
'Maceió','AL','270430'
'Major Isidoro','AL','57580-000'
'Mar Vermelho','AL','57730-000'
